Electronegativity, Calculated Radius, First Ionization, Core Configuration, Heat of Vapor, Covalent Radius, Heat of Fusion, Bulk Modulus, Boiling Point, Brinell Hardness, Melting Point, Symbol, STP Density, Young Modulus, Shear Modulus, Vickers Hardness, Name, Common Ions, Second Ionization, Mass, Van der Waals Radius, Specific Heat, Thermal Cond., Third Ionization, Series, Electron Affinity, Atomic Number, Mohs Hardness, Empirical Radius,
2,135,812.1,[Xe] 6s2 4f14 5d10 6p4,100,Unknown,13,Unknown,1235,Unknown,527,Po,9196,Unknown,Unknown,Unknown,Polonium,NA,Unknown,-209,Unknown,Unknown,Unknown,Unknown,Metalloid,183.3,84,Unknown,190,
2.2,127,890,[Xe] 6s2 4f14 5d10 6p5,40,Unknown,6,Unknown,610,Unknown,575,At,Unknown,Unknown,Unknown,Unknown,Astatine,NA,Unknown,-210,Unknown,Unknown,2,Unknown,Halogen,270.1,85,Unknown,Unknown,
Unknown,120,1037,[Xe] 6s2 4f14 5d10 6p6,17,145,3,Unknown,211.3,Unknown,202,Rn,9.73,Unknown,Unknown,Unknown,Radon,NA,Unknown,-222,Unknown,93.65,0.00361,Unknown,Noble Gas,0,86,Unknown,Unknown,
0.7,Unknown,380,[Rn] 7s1,65,Unknown,2,Unknown,950,Unknown,300,Fr,Unknown,Unknown,Unknown,Unknown,Francium,NA,Unknown,-223,Unknown,Unknown,Unknown,Unknown,Alkali Metal,Unknown,87,Unknown,Unknown,
0.9,Unknown,509.3,[Rn] 7s2,125,Unknown,8,Unknown,2010,Unknown,973,Ra,5000,Unknown,Unknown,Unknown,Radium,NA,979,-226,Unknown,92,19,Unknown,Alkaline Earth Metal,Unknown,88,Unknown,215,
Unknown,Unknown,580,[Rn] 7s2 5f14 6d2,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Rf,Unknown,Unknown,Unknown,Unknown,Rutherfordium,NA,Unknown,-267,Unknown,Unknown,Unknown,Unknown,Transition Metal,Unknown,104,Unknown,Unknown,
Unknown,Unknown,Unknown,[Rn] 7s2 5f14 6d3,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Db,Unknown,Unknown,Unknown,Unknown,Dubnium,NA,Unknown,-268,Unknown,Unknown,Unknown,Unknown,Transition Metal,Unknown,105,Unknown,Unknown,
Unknown,Unknown,Unknown,[Rn] 7s2 5f14 6d4,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Sg,Unknown,Unknown,Unknown,Unknown,Seaborgium,NA,Unknown,-271,Unknown,Unknown,Unknown,Unknown,Transition Metal,Unknown,106,Unknown,Unknown,
Unknown,Unknown,Unknown,[Rn] 7s2 5f14 6d5,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Bh,Unknown,Unknown,Unknown,Unknown,Bohrium,NA,Unknown,-272,Unknown,Unknown,Unknown,Unknown,Transition Metal,Unknown,107,Unknown,Unknown,
Unknown,Unknown,Unknown,[Rn] 7s2 5f14 6d6,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Hs,Unknown,Unknown,Unknown,Unknown,Hassium,NA,Unknown,-270,Unknown,Unknown,Unknown,Unknown,Transition Metal,Unknown,108,Unknown,Unknown,
Unknown,Unknown,Unknown,[Rn] 7s2 5f14 6d7,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Mt,Unknown,Unknown,Unknown,Unknown,Meitnerium,NA,Unknown,-276,Unknown,Unknown,Unknown,Unknown,Transition Metal,Unknown,109,Unknown,Unknown,
Unknown,Unknown,Unknown,[Rn] 7s1 5f14 6d9,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Ds,Unknown,Unknown,Unknown,Unknown,Darmstadtium,NA,Unknown,-281,Unknown,Unknown,Unknown,Unknown,Transition Metal,Unknown,110,Unknown,Unknown,
Unknown,Unknown,Unknown,[Rn] 7s1 5f14 6d10,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Rg,Unknown,Unknown,Unknown,Unknown,Roentgenium,NA,Unknown,-280,Unknown,Unknown,Unknown,Unknown,Transition Metal,Unknown,111,Unknown,Unknown,
Unknown,Unknown,Unknown,[Rn] 7s2 5f14 6d10,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Cn,Unknown,Unknown,Unknown,Unknown,Copernicium,NA,Unknown,-285,Unknown,Unknown,Unknown,Unknown,Transition Metal,Unknown,112,Unknown,Unknown,
Unknown,Unknown,Unknown,[Rn] 7s2 5f14 6d10 7p1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Uut,Unknown,Unknown,Unknown,Unknown,Ununtrium,NA,Unknown,-284,Unknown,Unknown,Unknown,Unknown,Post-Transition Metal,Unknown,113,Unknown,Unknown,
Unknown,Unknown,Unknown,[Rn] 7s2 5f14 6d10 7p2,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Fl,Unknown,Unknown,Unknown,Unknown,Flerovium,NA,Unknown,-289,Unknown,Unknown,Unknown,Unknown,Post-Transition Metal,Unknown,114,Unknown,Unknown,
Unknown,Unknown,Unknown,[Rn] 7s2 5f14 6d10 7p3,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Uup,Unknown,Unknown,Unknown,Unknown,Ununpentium,NA,Unknown,-288,Unknown,Unknown,Unknown,Unknown,Post-Transition Metal,Unknown,115,Unknown,Unknown,
Unknown,Unknown,Unknown,[Rn] 7s2 5f14 6d10 7p4,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Lv,Unknown,Unknown,Unknown,Unknown,Livermorium,NA,Unknown,-293,Unknown,Unknown,Unknown,Unknown,Post-Transition Metal,Unknown,116,Unknown,Unknown,
Unknown,Unknown,Unknown,[Rn] 7s2 5f14 6d10 7p5,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Uus,Unknown,Unknown,Unknown,Unknown,Ununseptium,NA,Unknown,-294,Unknown,Unknown,Unknown,Unknown,Halogen,Unknown,117,Unknown,Unknown,
Unknown,Unknown,Unknown,[Rn] 7s2 5f14 6d10 7p6,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Uuo,Unknown,Unknown,Unknown,Unknown,Ununoctium,NA,Unknown,-294,Unknown,Unknown,Unknown,Unknown,Noble Gas,Unknown,118,Unknown,Unknown,
1.1,Unknown,538.1,[Xe] 6s2 5d1,400,169,6.2,28,3737,363,1193,La,6146,37,14,491,Lanthanum,NA,1067,138.9055,Unknown,195,13,1850.3,Lanthanoid,48,57,2.5,195,
1.12,Unknown,534.4,[Xe] 6s2 4f1 5d1,350,Unknown,5.5,22,3633,412,1071,Ce,6689,34,14,270,Cerium,Ce3+, Ce4+,1050,140.116,Unknown,192,11,1949,Lanthanoid,50,58,2.5,185
1.13,247,527,[Xe] 6s2 4f3,330,Unknown,6.9,29,3563,481,1204,Pr,6640,37,15,400,Praseodymium,NA,1020,140.9077,Unknown,193,13,2086,Lanthanoid,50,59,Unknown,185,
1.14,206,533.1,[Xe] 6s2 4f4,285,Unknown,7.1,32,3373,265,1294,Nd,7010,41,16,343,Neodymium,NA,1040,144.242,Unknown,190,17,2130,Lanthanoid,50,60,Unknown,185,
Unknown,205,540,[Xe] 6s2 4f5,290,Unknown,7.7,33,3273,Unknown,1373,Pm,7264,46,18,Unknown,Promethium,NA,1050,-145,Unknown,Unknown,15,2150,Lanthanoid,50,61,Unknown,185,
1.17,238,544.5,[Xe] 6s2 4f6,175,Unknown,8.6,38,2076,441,1345,Sm,7353,50,20,412,Samarium,NA,1070,150.36,Unknown,196,13,2260,Lanthanoid,50,62,Unknown,185,
Unknown,231,547.1,[Xe] 6s2 4f7,175,Unknown,9.2,8.3,1800,Unknown,1095,Eu,5244,18,7.9,167,Europium,NA,1085,151.964,Unknown,182,14,2404,Lanthanoid,50,63,Unknown,185,
1.2,233,593.4,[Xe] 6s2 4f7 5d1,305,Unknown,10,38,3523,Unknown,1586,Gd,7901,55,22,570,Gadolinium,NA,1170,157.25,Unknown,240,11,1990,Lanthanoid,50,64,Unknown,180,
