Electronegativity, Calculated Radius, First Ionization, Core Configuration, Heat of Vapor, Covalent Radius, Heat of Fusion, Bulk Modulus, Boiling Point, Brinell Hardness, Melting Point, Symbol, STP Density, Young Modulus, Shear Modulus, Vickers Hardness, Name, Common Ions, Second Ionization, Mass, Van der Waals Radius, Specific Heat, Thermal Cond., Third Ionization, Series, Electron Affinity, Atomic Number, Mohs Hardness, Empirical Radius,
1.54,176,658.8,[Ar] 4s2 3d2,425,136,18.7,110,3560,716,1941,Ti,4507,116,44,970,Titanium,Ti3+, Ti4+,1309.8,47.867,Unknown,520,22,2652.5,Transition Metal,7.6,22,6,140
1.63,171,650.9,[Ar] 4s2 3d3,453,125,22.8,160,3680,628,2183,V,6110,128,47,628,Vanadium,V3+,1414,50.9415,Unknown,489,31,2830,Transition Metal,50.6,23,7,135,
1.66,166,652.9,[Ar] 4s1 3d5,339,127,20.5,160,2944,1120,2180,Cr,7140,279,115,1060,Chromium,Cr2+, Cr3+,1590.6,51.9961,Unknown,448,94,2987,Transition Metal,64.3,24,8.5,140
1.55,161,717.3,[Ar] 4s2 3d5,220,139,13.2,120,2334,196,1519,Mn,7470,198,Unknown,Unknown,Manganese,Mn2+,1509,54.938,Unknown,479,7.8,3248,Transition Metal,0,25,6,140,
1.83,156,762.5,[Ar] 4s2 3d6,347,125,13.8,170,3134,490,1811,Fe,7874,211,82,608,Iron,Fe2+, Fe3+,1561.9,55.845,Unknown,449,80,2957,Transition Metal,15.7,26,4,140
1.88,152,760.4,[Ar] 4s2 3d7,375,126,16.2,180,3200,700,1768,Co,8900,209,75,1043,Cobalt,Co2+, Co3+,1648,58.9332,Unknown,421,100,3232,Transition Metal,63.7,27,5,135
1.91,149,737.1,[Ar] 4s2 3d8,378,121,17.2,180,3186,700,1728,Ni,8908,200,76,638,Nickel,Ni2+,1753,58.6934,163,445,91,3395,Transition Metal,112,28,4,135,
1.9,145,745.5,[Ar] 4s1 3d10,300,138,13.1,140,3200,874,1357.77,Cu,8920,130,48,369,Copper,Cu+, Cu2+,1957.9,63.546,140,384.4,400,3555,Transition Metal,118.4,29,3,135
1.65,142,906.4,[Ar] 4s2 3d10,119,131,7.35,70,1180,412,692.68,Zn,7140,108,43,Unknown,Zinc,Zn2+,1733.3,65.38,139,388,120,3833,Transition Metal,0,30,2.5,135,
1.81,136,578.8,[Ar] 4s2 3d10 4p1,256,126,5.59,Unknown,2477,60,302.91,Ga,5904,Unknown,Unknown,Unknown,Gallium,Ga3+,1979.3,69.723,187,371,29,2963,Post-Transition Metal,28.9,31,1.5,130,
2.01,125,762,[Ar] 4s2 3d10 4p2,334,122,31.8,Unknown,3093,Unknown,1211.4,Ge,5323,Unknown,Unknown,Unknown,Germanium,NA,1537.5,72.63,Unknown,321.4,60,3302.1,Metalloid,119,32,6,125,
2.18,114,947,[Ar] 4s2 3d10 4p3,32.4,119,27.7,22,887,1440,1090,As,5727,8,Unknown,Unknown,Arsenic,As3+,1798,74.9216,185,328,50,2735,Metalloid,78,33,3.5,115,
2.55,103,941,[Ar] 4s2 3d10 4p4,26,116,5.4,8.3,958,736,494,Se,4819,10,3.7,Unknown,Selenium,Se2-,2045,78.96,190,321.2,0.52,2973.7,Nonmetal,195,34,2,115,
2.96,94,1139.9,[Ar] 4s2 3d10 4p5,14.8,114,5.8,1.9,332,Unknown,265.8,Br,3120,Unknown,Unknown,Unknown,Bromine,Br-,2103,79.904,185,947.3,0.12,3470,Halogen,324.6,35,Unknown,115,
3,88,1350.8,[Ar] 4s2 3d10 4p6,9.02,110,1.64,Unknown,119.93,Unknown,115.79,Kr,3.75,Unknown,Unknown,Unknown,Krypton,NA,2350.4,83.798,202,248.05,0.00943,3565,Noble Gas,0,36,Unknown,Unknown,
0.82,265,403,[Kr] 5s1,72,211,2.19,2.5,961,0.216,312.46,Rb,1532,2.4,Unknown,Unknown,Rubidium,Rb+,2633,85.4678,Unknown,364,58,3860,Alkali Metal,46.9,37,0.3,235,
0.95,219,549.5,[Kr] 5s2,137,192,8,Unknown,1655,Unknown,1050,Sr,2630,Unknown,6.1,Unknown,Strontium,Sr2+,1064.2,87.62,Unknown,300,35,4138,Alkaline Earth Metal,5.03,38,1.5,200,
1.22,212,600,[Kr] 5s2 4d1,380,162,11.4,41,3618,589,1799,Y,4472,64,26,Unknown,Yttrium,NA,1180,88.9059,Unknown,298,17,1980,Transition Metal,29.6,39,Unknown,180,
1.33,206,640.1,[Kr] 5s2 4d2,580,148,21,Unknown,4682,650,2128,Zr,6511,68,33,903,Zirconium,NA,1270,91.224,Unknown,278,23,2218,Transition Metal,41.1,40,5,155,
1.6,198,652.1,[Kr] 5s1 4d4,690,137,26.8,170,5017,736,2750,Nb,8570,105,38,1320,Niobium,NA,1380,92.9064,Unknown,265,54,2416,Transition Metal,86.1,41,6,145,
2.16,190,684.3,[Kr] 5s1 4d5,600,145,36,230,4912,1500,2896,Mo,10280,329,20,1530,Molybdenum,NA,1560,95.96,Unknown,251,139,2618,Transition Metal,71.9,42,5.5,145,
